,event_date,source_name,source_link,event_id,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,AR_CAT,kidmap
10,2014-05-10 09:00:00,The Daily Star,http://www.thedailystar.net/backpage/landslide-kills-3-of-a-family-23595,6020.0,, Purba Satchhari village in Sadar upazila,"Meanwhile, at least 24 houses of Purba Satchhari village in Sadar upazila went into the Manu river during the heavy rains. Some electric poles were also damaged, disrupting electricity in some parts of the district.", Purba Satchhari village in Sadar upazila,10km,landslide,rain,medium,unknown,0.0,0.0,,,,glc,6020.0,Bangladesh,BD,Sylhet,57441.0,Maulavi Bāzār,11.04683,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.7227,24.5784,,
11,2014-05-10 09:00:00,The Daily Star,http://www.thedailystar.net/backpage/landslide-kills-3-of-a-family-23595,6019.0,,Borolekha upazila of Moulvibazar,"Three members of a family were killed as a large chunk of earth from a rain-soaked hill fell on a house in Borolekha upazila of Moulvibazar early yesterday. Tofail Ahmed, superintendent of police in Moulvibazar, said the landslide happened anytime after the torrential rain began in the district around 8:00pm on Friday.",Borolekha upazila of Moulvibazar,25km,landslide,rain,small,unknown,3.0,0.0,,,,glc,6019.0,Bangladesh,BD,Sylhet,57441.0,Maulavi Bāzār,8.46607,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.7561,24.4136,,
12,2013-01-21 00:00:00,www.thehimalayantimes.com,http://www.thehimalayantimes.com/fullNews.php?headline=Landslides+disrupt+transport+services+in+Jumla&NewsID=362781,4726.0,,"Ranchuli, Kalikot","Transport services have been disrupted in Jumla district due to landslides at Jumla-Kalikot road section following heavy snowfall for the past three days.Long route vehicles from the district are stranded at the bus park and short-route transport services have also been disrupted. According to Chairman of the KarnaliTransport Entrepreneurs' Committee, Min Bahadur Thapa, the transport services were disrupted due to landslides occurred in Timurebhir (cliff) and Ranchuli in Kalikot district and Raslihi in Jumla district. Passengers have been hard hit due to the disruption of transport services.","Ranchuli, Kalikot",25km,landslide,snowfall_snowmelt,medium,unknown,,,,,,glc,4726.0,Nepal,NP,Mid Western,9073.0,Jumla,32.6879,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,81.8833,29.1426,1.0,107554.0
13,2011-03-19 00:00:00,pakistantimes,http://www.pakistantimes.net/pt/detail.php?newsId=20010,3250.0,,"Jammu-Srinagar hwy, Digdol, Ramban, Jammu and Kashmir","The landslides blocked the road on at least four places including Sheeri, Panithal and Digdol.","Jammu-Srinagar hwy, Digdol, Ramban, Jammu and Kashmir",5km,landslide,downpour,medium,unknown,0.0,,,,,glc,3250.0,India,IN,Kashmir,3278.0,Banihāl,9.75302,09/10/2014 07:58:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.1773,33.3308,3.0,101489.0
14,2011-03-19 00:00:00,Daily News and Analysis,http://www.dnaindia.com/india/report_j-and-k-highway-closed-for-traffic-due-to-landslide_1521969,3251.0,,"Jammu-Srinagar hwy, Panthal, Ramban, Jammu and Kashmir","Mar 19, 2011, 18:02 IST   he Jammu-Srinagar National Highway, which is the only surface link between Kashmir and rest of the country, was closed for vehicular traffic today due to a landslide triggered by heavy rains in Ramban district of Jammu & Kashmir today.  The 300-km-long highway was closed after landslides were triggered by heavy rains at Panthal in Ramban district this afternoon, senior superintendent of police, National Highway, Kifayat Haider said.","Jammu-Srinagar hwy, Panthal, Ramban, Jammu and Kashmir",25km,landslide,downpour,medium,above_road,,,,,,glc,3251.0,India,IN,Kashmir,3278.0,Banihāl,5.78589,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.1916877,33.3390327,3.0,101489.0
15,2011-03-19 00:00:00,pakistantimes,http://www.pakistantimes.net/pt/detail.php?newsId=20010,3252.0,,"Jammu-Srinagar hwy, Sheeri(?), Ramban, Jammu and Kashmir","The landslides blocked the road on at least four places including Sheeri, Panithal and Digdol.","Jammu-Srinagar hwy, Sheeri(?), Ramban, Jammu and Kashmir",50km,landslide,downpour,medium,unknown,0.0,,,,,glc,3252.0,India,IN,Kashmir,7317.0,Rāmban,7.32953,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.1611,33.2466,3.0,101489.0
16,2015-03-31 00:00:00,Indian Express,http://indianexpress.com/article/india/india-others/4-killed-in-landslide-in-chamoli/,6928.0,,Joshimath-Mallari road,Four persons were killed after a landslide hit the under-construction Joshimath-Mallari road in the state’s Chamoli district on Tuesday. The Border Road Organization (BRO) has undertaken the road construction work.,Joshimath-Mallari road,25km,landslide,construction,medium,above_road,4.0,0.0,,,,glc,6928.0,India,IN,Uttarakhand,13865.0,Joshīmath,24.26124,05/26/2015 10:07:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,79.8102,30.6145,3.0,114920.0
17,2015-05-24 00:00:00,The Olympian,http://www.theolympian.com/2015/05/27/3746897/rhododendron-explorers-from-south.html,7031.0,,"Bop, Sikkim","Approximately 1200 tourists were stranded. The landslide blocked three switchbacks on the main road. By the evening, that stretch was impassable.","Bop, Sikkim",1km,landslide,unknown,medium,above_road,0.0,0.0,,,,glc,7031.0,India,IN,Sikkim,1464.0,Mangan,17.93173,06/30/2015 08:57:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.6586,27.6163,3.0,115453.0
18,2015-05-24 00:00:00,Himalayan Times,http://thehimalayantimes.com/nepal/baisari-landslide-victims-given-rs-225000/,7315.0,,Kaphaldanda in Ramche VDC -9,"A heavy landslide occurred at Kaphaldanda in Ramche VDC -9 on May 24 had swept away altogether 27 houses in Ramche-9 and Bhagawati-2 along the Beni-Baglung road section. So far, 18 families are rendered homeless though some of the families managed temporary settlement after the landslide.",Kaphaldanda in Ramche VDC -9,25km,landslide,unknown,medium,unknown,0.0,0.0,,,,glc,7315.0,Nepal,NP,Western Region,2860.0,Chitre,10.17958,08/18/2015 05:50:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,83.5942,28.3928,3.0,115453.0
19,2015-05-24 00:00:00,Press TV,http://www.presstv.ir/Detail/2015/05/24/412652/Kyrgyzstan-JalaAbad-Almazbek-Atambayev-Suzak-landslide,7045.0,,"Suzak : According to officials, the landslide, which was triggered by heavy rain, buried five houses in the village of Suzak, located close to the bo*","According to officials, the landslide, which was triggered by heavy rain, buried five houses in the village of Suzak, located close to the border with neighboring Uzbekistan.",,5km,landslide,downpour,medium,above_road,6.0,12.0,,,,glc,7045.0,Kyrgyzstan,KG,Jalal-Abad,0.0,Suzak,0.06228,07/02/2015 01:56:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,72.9053,40.8986,3.0,115453.0
20,2016-03-07 00:00:00,DNA,http://www.dnaindia.com/india/report-landslide-in-mp-at-least-three-devotees-killed-near-shiv-temple-in-chhindwara-2186466,9351.0,,Chhindwara,"At least three people were killed following a landslide near Shiv temple situated in a cave in Anjanpur village of Madhya Pradesh's Chhindwara District on Monday.  The people were worshipping in the temple on the occasion of Mahashivratri when they were trapped inside the cave after the landslide. As per t reports, four to five people were believed to be trapped inside the cave. The rescue operations are currently underway.",Chhindwara,100km,landslide,unknown,medium,natural_slope,3.0,0.0,,http://static.dnaindia.com/sites/default/files/styles/half/public/2016/03/07/434579-shiv-temple-ani.jpg?itok=JOjuchlH,,glc,9351.0,India,IN,Madhya Pradesh,134847.0,Chhindwāra,9.52236,08/03/2016 03:30:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.8979,22.1337,1.0,118090.0
21,2014-02-03 00:00:00,The Daily Star,http://www.thedailystar.net/city/woman-killed-in-ctg-landslide-9838#http://www.thedailystar.net/city/woman-killed-in-ctg-landslide-9838,5834.0,, Chittagong,A woman was killed and her father-in-law was injured when a large chunk of earth fell on them while they were cutting hills in Paschim Shanti Nagor area of Chittagong city yesterday., Chittagong,5km,landslide,unknown,medium,unknown,1.0,1.0,,,,glc,5834.0,Bangladesh,BD,Chittagong,3920222.0,Chittagong,2.2358,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8123,22.3475,2.0,111079.0
22,2011-02-07 00:00:00,tribune.com,http://tribune.com.pk/story/127349/rain-snow-disrupt-life-in-ajk/,3099.0,,"road between Muzaffarabad and Chakothi, Neelum and Leepa valleys, Azad Kashmir","MUZAFFARABAD:   Heavy rain and snow have disrupted life across Azad Jammu and Kashmir (AJK), blocking roads due to heavy landslides.  The rain, blanketing northern districts of AJK, triggered landslides at various points, disconnecting hundreds of towns and villages in Neelum, Jhelum and Lipa valleys from Muzaffarabad.  The weekly Intra Kashmir bus service was suspended due to the closure of Srinagar-Muzaffarabad route, owing to heavy landslides at several places between Muzaffarabada and Chakothi. The trade service across the Line of Control was affected, with trucks stranded on either side.  The only roads connecting Neelum and Leepa valleys to Muzaffarabad have been blocked since the start of February, leaving tens of thousands of people stranded. The valleys have been without electricity for weeks now. Telephone services also remain suspended. Analysts fear shortage of food and medicine in the cut-off communities. Unclear Date, early February.","road between Muzaffarabad and Chakothi, Neelum and Leepa valleys, Azad Kashmir",25km,landslide,downpour,medium,unknown,0.0,,,,,glc,3099.0,Pakistan,PK,Azad Kashmir,725000.0,Muzaffarābād,24.55782,09/10/2014 08:15:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,73.673,34.2256,3.0,101129.0
23,2011-02-07 00:00:00,Times of India,http://timesofindia.indiatimes.com/india/JK-highway-closed-for-traffic-following-landslide/articleshow/7442899.cms,3097.0,,"Jammu-Srinagar highway, Pathal area, Ramban district, Jammu and Kashmir","The Jammu-Srinagar National Highway was closed for traffic on Monday due to landslides triggered by heavy rains at Pathal area in Ramban district.  Over 600 vehicles have been stranded at various places in Udhampur, Nagrota, Ramban, Patnitop, Banihal and Batote areas of the highway due to the landslide, police said.  In view of the fresh snowfall, authorities had allowed only one way traffic from Jammu to Srinagar on Monday, but landslide has blocked the highway, he said.  Men and machines of Border Road Organisation are trying to clear the landslide but heavy rains in the area was making the task difficult, officials said.","Jammu-Srinagar highway, Pathal area, Ramban district, Jammu and Kashmir",25km,landslide,downpour,medium,above_road,,,,,,glc,3097.0,India,IN,Kashmir,3278.0,Banihāl,5.78589,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.17240669,33.35406635,3.0,101129.0
24,2016-04-19 00:00:00,Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=may0216/oth058,9405.0,,"Techahan Ward, Mon, Nagaland, India","(Landslide may have occurred within a week of April 19. )Altogether, 200 hailstorm affected families in Mon town of Nagaland have been given cash relief under the State Disaster Response Fund. Nagaland State Disaster Management Authority (NSDMA) and District Disaster Management Authority (DDMA) officials had undertaken a field assessment of the damages caused by heavy rainfall, hailstorm and windstorm in Mon district in April. Accordingly, relief was given to the families affected by landslide at Techahan Ward of Mon town.  Techahan Ward was affected by a massive landslide triggered by the incessant heavy rainfall that lashed the town for about six days in a row during the third week of April. About 70 houses were completely damaged and 130 houses severely affected displacing about 125 families.  One Government Primary School building located in the ward was also damaged by the landslide. Massive landslide had caused road blockage of Tobu-Mon BRO road.","Techahan Ward, Mon, Nagaland, India",1km,landslide,continuous_rain,medium,unknown,0.0,0.0,,,,glc,9405.0,India,IN,Nagaland,18742.0,Mon,3.71285,08/03/2016 08:40:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,95.0243,26.7223,3.0,118455.0
25,2010-04-01 00:00:00,en.apa,http://en.apa.az/news.php?id=119178,1611.0,,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam","The latest disaster has come from Assam where three children aged 7, 5 and 2 were crushed to death after the side of a mountain slid onto their house in Cachar, wiping it out. Their parents, Deepak and Supriti Roy, who survived the catastrophe were seriously injured.  A torrential downpour — some 26 inches on the rain gauge — over the past few days loosened the earth leading to the tragedy at the reserved forest village of Paglanala under Dholai block in the state’s Cachar district.  In the reckless destruction of mountains — be it in the name of “development” or the creation of more “living space” — there have been instances of entire convoys of passenger traffic being stranded in the mountains of the region because of landslides.  As per media report of 2nd April 2010 a landslide at the reserved forest village of Paglanala under Dholai block in the Cachar district, Assam has led to the death of three children and serious injury to two persons. The landslide was preceded by torrential","Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam",25km,landslide,downpour,medium,unknown,3.0,,,,,glc,1611.0,India,IN,Assam,39982.0,Hāflong,1.49521,09/12/2014 02:02:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.028,25.1553,3.0,98243.0
26,2007-05-23 00:00:00,Sikkim times.com,http://www.thestatesman.net/page.arcview.php?clid=10&id=184730&usrsess=1,78.0,,"Pangthang, on road b/t Gangtok and North Sikkim",along highway,"Pangthang, on road b/t Gangtok and North Sikkim",50km,landslide,rain,medium,unknown,,,,,,glc,78.0,India,IN,Sikkim,30700.0,Gangtok,1.48585,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.6069,27.3383,3.0,88789.0
27,2015-12-25 18:00:00,RT,https://www.rt.com/news/327144-myanmar-landslide-jade-mines/,9119.0,,"Kachin, Myanmar (Burma)","About 50 migrant workers combing soil discarded by jade mines are believed to have been killed by a landslide in north Myanman, in an area where over 120 people died in a similar incident a month ago. ""We heard about 50 people were buried in the collapsed dump and four or five bodies were found this morning,"" Sai Lon, who works at a jade mining company in the area, told Reuters on Saturday. The landslide happened near the same Hpa-kant jade mining area in Kachin State on Friday evening, Xinhua reported local police as saying. The 50 miners were trapped under the mud and are presumed dead.  ""The rescue process has now started and we are searching for dead bodies but we can't tell the numbers yet,"" Nilar Myint, an official from Hpakant Administrative Office, told AFP.  Hpa-kant is prone to landslides and has experienced seven this year alone. After the deadly incident last month, the authorities moved 108 migrant workers employed in the mining operations to other areas.  The area has","Kachin, Myanmar (Burma)",unknown,landslide,mining,medium,mine,5.0,0.0,,,,glc,9119.0,Myanmar [Burma],MM,Kachin,90894.0,Myitkyina,76.60892,07/22/2016 12:28:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,97.3668,26.0746,,
28,2014-04-03 00:00:00,Dawn,http://www.dawn.com/news/1249885/eight-killed-as-landslide-hits-2-houses-in-ajk,9374.0,,Samgam area of Azad Kashmir,The valley’s Deputy Commissioner Abdul Hameed Kiyani said the incident had taken place in Samgam area at about midnight and a rescue operation was launched early in the morning by the army and civil administration as well as local people.,Samgam area of Azad Kashmir,50km,landslide,rain,small,unknown,8.0,0.0,,,,glc,9374.0,Pakistan,PK,Azad Kashmir,725000.0,Muzaffarābād,1.42424,08/03/2016 05:09:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,74.21346155,34.80316285,2.0,111560.0
29,2015-04-05 00:00:00,Kashmir Life,http://www.kashmirlife.net/landslide-in-budgam-four-houses-collapse-76246/,7175.0,,"Wadpora, Budgam near Vidyala School","Four houses collapsed, inmates were already evacuated no loss of life","Wadpora, Budgam near Vidyala School",25km,landslide,continuous_rain,medium,unknown,0.0,0.0,,,,glc,7175.0,India,IN,Kashmir,8036.0,Tsrār Sharīf,15.35078,07/13/2015 07:08:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,74.6163,33.9243,3.0,115021.0
30,2015-02-25 00:00:00,Express Tribune,http://tribune.com.pk/story/843516/grey-skies-ahead-strong-weather-to-stir-up-thunder-hailstorms-in-k-p/,6797.0,,Chitral-Booni Road,"Meanwhile, a landslide blocked the Chitral-Booni Road for six hours, but it was later opened for traffic.",Chitral-Booni Road,50km,landslide,snowfall_snowmelt,medium,above_road,0.0,0.0,,,,glc,6797.0,Pakistan,PK,Khyber Pakhtunkhwa,0.0,Chitral,34.15607,02/26/2015 08:55:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,72.0406,36.0739,3.0,114602.0
31,2015-02-25 00:00:00,Express Tribune,http://tribune.com.pk/story/843516/grey-skies-ahead-strong-weather-to-stir-up-thunder-hailstorms-in-k-p/,6798.0,,Rumbur,"Similarly, the roads of Rumbur and Bumburet also remained closed all day due to landslides and people could be seen travelling on foot.",Rumbur,10km,landslide,snowfall_snowmelt,medium,above_road,0.0,0.0,,,,glc,6798.0,Pakistan,PK,Khyber Pakhtunkhwa,0.0,Chitral,12.91922,02/26/2015 09:02:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,71.7059,35.7497,3.0,114602.0
32,2015-02-25 00:00:00,Express Tribune,http://tribune.com.pk/story/843516/grey-skies-ahead-strong-weather-to-stir-up-thunder-hailstorms-in-k-p/,6799.0,,Bumburet,"Similarly, the roads of Rumbur and Bumburet also remained closed all day due to landslides and people could be seen travelling on foot.",Bumburet,25km,landslide,snowfall_snowmelt,medium,above_road,0.0,0.0,,,,glc,6799.0,Pakistan,PK,Khyber Pakhtunkhwa,0.0,Chitral,14.87282,02/26/2015 09:04:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,71.7095,35.7275,3.0,114602.0
33,2011-05-31 14:30:00,kanglaonline.com,http://kanglaonline.com/2011/06/two-children-claimed-by-landslide-at-tamenglong/,3560.0,,"Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur","June 1, 2011  A major landslide at Tamenglong has reportedly claimed two lives yesterday. According to a source, two members of a family, a brother and a sister were killed in a massive landslide at the Gaoilung village, Tamenlong ward No. 4 yesterday afternoon at around 2:30 pm.  The deceased brother and sisters were identified as one Masamdingliu, 13 and Mathemsonang, 8 children of Dr. Kiulang originally hailing from Dilong village.  According to the source, the siblings were killed while there house was dragged along by the land slide, triggered by torrential rain yesterday.","Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur",50km,landslide,downpour,medium,unknown,2.0,,,,,glc,3560.0,India,IN,Manipur,223523.0,Imphal,35.52835,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.5935,24.8286,,
34,2007-12-16 00:00:00,Times of India,http://timesofindia.indiatimes.com/2_soldiers_killed_in_Leh_landslide/articleshow/2626698.cms,395.0,,2 Soldiers Killed,landslide occurred in the morning,"Thang Bridge 10 km from Turtuk, Leh, Jammu and Kashmir",25km,landslide,rain,medium,unknown,13.0,6.0,,,"Article gives 2 fatalities, and doesn't mention a trigger. Based on another source?",glc,395.0,India,IN,Kashmir,37475.0,Leh,1.69993,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.83270934,34.93977198,3.0,90762.0
